plate_position,aryl_halide_smiles,nucleophile_smiles,catalyst_smiles,catalyst_name,base_smiles,base_name,yield_percent,product_smiles
E42,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E43,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E44,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E45,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E46,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E47,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E48,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F1,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=CC=CC2[Fe]C3C(P(C(C)(C)C)C(C)(C)C)=CC=C3)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,DTBPF Pd G3 38,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F2,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=CC=CC2[Fe]C3C(P(C(C)(C)C)C(C)(C)C)=CC=C3)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,DTBPF Pd G3 38,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F3,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=CC=CC2[Fe]C3C(P(C(C)(C)C)C(C)(C)C)=CC=C3)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,DTBPF Pd G3 38,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F4,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=CC=CC2[Fe]C3C(P(C(C)(C)C)C(C)(C)C)=CC=C3)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,DTBPF Pd G3 38,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F5,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=CC=CC2[Fe]C3C(P(C(C)(C)C)C(C)(C)C)=CC=C3)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,DTBPF Pd G3 38,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.81,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F6,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=CC=CC2[Fe]C3C(P(C(C)(C)C)C(C)(C)C)=CC=C3)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,DTBPF Pd G3 38,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F7,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F8,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F9,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F10,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F11,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
F12,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
